"Time (s)","Angular velocity (rad/s)","Acceleration (m/s^2)"
6.791449175E-1,1.945827926E-2,6.255589241E-2
1.176810646E0,6.774306131E-1,4.033261741E-1
1.674503485E0,2.086817964E-1,4.945640690E-1
2.172219006E0,2.429430920E-1,1.584505079E0
2.919910725E0,3.196535487E0,8.305855062E0
3.417578474E0,1.136026542E1,5.451560743E1
3.915266390E0,2.128375470E1,7.837955601E1
4.412998265E0,1.903881545E1,9.601544879E1
4.910683994E0,1.656213544E1,9.897193291E1
5.408372848E0,1.906109698E1,1.044865541E2
5.906036442E0,1.765579224E1,9.521174780E1
6.403837562E0,1.441518654E1,9.377203104E1
6.901448031E0,1.246360025E1,9.064468373E1
7.399113734E0,2.877438875E1,1.047512228E2
7.896804202E0,1.650236106E1,1.012764105E2
8.394513422E0,1.579662657E1,9.700881893E1
8.892221130E0,1.966033361E1,1.054966246E2
9.389908786E0,2.082001869E1,1.029367584E2
9.887572536E0,1.619249957E1,1.008259055E2
1.038527433E1,1.672758255E1,1.011055277E2
1.088298157E1,1.854673285E1,1.048183149E2
1.138067688E1,2.053598907E1,1.050691155E2
1.187834368E1,1.764254650E1,9.686772750E1
1.237614152E1,1.628351074E1,9.856032127E1
1.287375386E1,1.619441938E1,9.552869560E1
1.337141655E1,1.625944066E1,9.252895466E1
1.386911069E1,1.463870159E1,7.523405578E1
1.436681879E1,1.732046975E1,9.098362280E1
1.486452373E1,2.112203934E1,8.921462044E1
1.536221681E1,1.424857849E1,7.747462689E1
1.585987899E1,1.954263251E1,7.952430880E1
1.635758704E1,1.726666303E1,8.594940226E1
1.685529121E1,1.287282712E1,7.941862628E1
1.735296436E1,1.940170113E1,9.534845296E1
1.785065030E1,1.878094669E1,9.496301320E1
1.834836199E1,1.838534330E1,9.064622086E1
1.884606290E1,1.682019267E1,8.457986334E1
1.934375199E1,1.614999824E1,8.459520246E1
1.984141584E1,1.158576704E1,7.556053053E1
2.033913082E1,1.363327492E1,7.243383079E1
2.083682761E1,1.281278022E1,5.359713970E1
2.133453087E1,1.569541432E1,7.577375228E1
2.183218196E1,2.913071225E1,7.424781152E1
2.232988574E1,1.183575046E1,6.795008375E1
2.282759952E1,1.172361391E1,7.050087600E1
2.332528832E1,1.431592093E1,6.767464269E1
2.382295699E1,2.203982211E1,7.854493568E1
2.432066230E1,1.470754567E1,5.559966970E1
2.481836972E1,1.027888514E1,2.933762587E1
2.556372485E1,3.491867438E0,1.028163279E1
2.606141574E1,3.892244427E0,8.125087494E0
2.655913149E1,1.845464334E-1,3.267571167E0
2.705682548E1,1.082947456E0,1.444358068E0
2.755448925E1,7.833853351E-1,1.387292201E0
2.805219923E1,5.955626277E-1,1.763566142E0
2.854990162E1,1.886892364E0,8.107224369E-1
2.904760157E1,1.226393615E0,1.630502428E0
2.954525741E1,1.073461809E-1,1.777871304E0
3.004295079E1,3.513332836E-1,1.334769958E0
3.054066761E1,3.522230983E-1,7.352715010E-1
3.103836139E1,3.740872750E-2,3.931810569E-1
3.153602879E1,4.875786972E-2,1.860354320E-1
3.203371498E1,1.198904885E-2,6.575962148E-2
3.253144574E1,1.898508894E-2,4.861235951E-2
3.302913230E1,1.808642917E-2,5.397601107E-2
3.352679230E1,7.191555722E-3,2.771759364E-2
3.402450454E1,8.890468783E-3,1.494568896E-2
3.452221475E1,5.109667109E-2,4.048280051E-2
3.501989863E1,2.543522791E-2,5.044386949E-2
3.551755941E1,1.350164459E-1,1.234778688E-1
3.601525280E1,3.839782630E-2,1.018709597E-1
3.651297209E1,2.114217579E-2,7.899604207E-2
3.701066545E1,3.285131303E-2,5.138074629E-2
3.750833126E1,1.386402428E-2,4.385773219E-2
3.800603978E1,7.651439945E-3,2.057706851E-2
3.850374485E1,4.007917085E-3,2.337513302E-2
3.900143207E1,2.835215074E-1,1.331371610E-1
3.949909623E1,5.885699620E-1,4.068667977E-1
3.999678444E1,8.816536413E-1,4.357378612E-1
4.049450511E1,6.856680684E-1,8.247716391E-1
4.099219746E1,1.175993510E0,1.582219668E0
4.148986629E1,5.864102746E-1,1.014371343E0
4.198756983E1,2.777032496E-1,1.123595843E0
4.248527376E1,1.675743021E-1,1.288655565E0
4.298296399E1,6.697789913E-1,1.726871740E0
4.348063189E1,2.653718928E0,4.030443512E-1
4.397831925E1,9.612344455E-1,2.778038162E0
4.447603866E1,2.146230223E0,3.036163135E0
4.497373209E1,1.092556677E0,1.335887900E0
4.547139540E1,1.004103397E0,2.930051883E0
4.596908574E1,2.013591882E0,1.906506212E0
4.646680438E1,1.561306873E0,1.790703053E0
4.696449493E1,1.503847939E0,2.205190262E0
4.746215897E1,3.713730671E-1,1.866893246E0
4.795985561E1,5.700954055E-1,1.139204086E0
4.845757032E1,9.525688594E-1,2.215510821E0
4.895526368E1,5.926544222E-1,1.174262802E0
4.945294939E1,9.169327596E-1,6.986017139E-1
5.020061886E1,4.662450453E-1,1.532801675E0
5.069834269E1,2.608429356E0,5.022228888E0
5.144369269E1,1.375541867E0,1.609179230E0
5.194138238E1,3.184104848E0,1.173614457E0
